,Message
13682,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
13683,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
13685,Just send a text. We'll skype later.
13687,The message sent is askin for <#> dollars. Shoul i pay <#> or <#> ?
13690,Great. Have a safe trip. Dont panic surrender all.
13691,You don buy ticket?
13692,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!"
13693,"When you just put in the + sign, choose my number and the pin will show. Right?"
13694,I'm on the bus. Love you
13696,I cant hear you oh
13697,That's significant but dont worry.
13698,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just <#> bucks
13699,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
13700,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss."
13702,"And very importantly, all we discuss is between u and i only."
13703,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
13704,Wishing you a wonderful week.
13705,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
13706,"Pls send me a comprehensive mail about who i'm paying, when and how much."
13707,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?
13708,Ashley- <#>
13711,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
13712,Sorry i missed your call. Can you please call back.
13713,First has she gained more than <#> kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries
13714,Was the actual exam harder than NBME
13715,The battery is for mr adewale my uncle. Aka Egbon
13717,Ok. Thanks
13720,I cant pick the phone right now. Pls send a message
13721,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
13725,Hi. I'm sorry i missed your call. Can you pls call back.
13727,Where can download clear movies. Dvd copies.
13729,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
13731,Happy new year. Hope you are having a good semester
13732,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
13735,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
13738,<#> actually
13739,R we going with the <#> bus?
13741,No. I'm just joking
13742,Oh my God. I'm almost home
13743,No. Thank you. You've been wonderful
13744,Just finished. Missing you plenty
13748,Take your time.
13749,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
13750,He has sent money
13752,Am okay. Will soon be over. All the best
13754,Thx
13756,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
13757,And do you have any one that can teach me how to ship cars.
13758,On ma way to school. Can you pls send me ashley's number
13759,We are both fine. Thanks
13762,Thanks for looking out for me. I really appreciate.
13763,Pls help me tell Ashley that i cant find her number oh
13764,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
13766,Will do. Have a good day
13767,Pls come down stairs
13768,Sorry that was my uncle. I.ll keep in touch
13769,I'm ok. Will do my part tomorrow
13770,How are you with moneY...as in to you...money aint a thing....how are you sha!
13771,I.ll get there tomorrow and send it to you
13772,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
13774,"How long before you get reply, just defer admission til next semester"
13775,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
13777,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
13778,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
13782,Hi. Hope you had a good day. Have a better night.
13783,You are a great role model. You are giving so much and i really wish each day for a miracle but as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
13784,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
13785,How are you. Wish you a great semester
13788,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
13789,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
13790,Sending you greetings of joy and happiness. Do have a gr8 evening
13791,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
13792,Really do hope the work doesnt get stressful. Have a gr8 day.
13795,So when's soccer
13796,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
13797,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!"
13798,That's a good girl
13800,Not from this campus. Are you in the library?
13801,I'm now but have to wait till 2 for the bus to pick me.
13802,No thanks
13803,Yes oh.
13804,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand."
13807,Just rounding up.
13808,Not to worry. I'm sure you'll get it.
13810,Pls dont forget to study
13811,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.
13812,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
13816,No. I meant the calculation is the same. That <#> units at <#> . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.
13817,Okay same with me. Well thanks for the clarification
13818,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks
13820,What about you?
13821,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
13822,"So check your errors and if you had difficulties, do correction."
13823,You can jot down things you want to remember later.
13824,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
13825,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
13826,There's someone here that has a year <#> toyota camry like mr olayiwola's own. Mileage is <#> k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.
13827,Hope you are having a good week. Just checking in
13828,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
13829,Ma head dey swell oh. Thanks for making my day
13830,Yes i have. So that's why u texted. Pshew...missing you so much
14000,O.wow.buff.
14001,Imp
14002,Dude ive been seeing a lotta corvettes lately
14003,Hows yo cave
14005,What should i eat fo lunch senor
14006,Wat happened to the cruise thing
14008,That was random saw my old roomate on campus. He graduated
14009,Hhahhaahahah rofl wtf nig was leonardo in your room or something
14013,Ugh. Gotta drive back to sd from la. My is sore.
14014,O whose?
14016,Dude we should go sup again
14017,So do you have samus shoulders yet
14018,O. Guess they both got screwd
14019,Already am squatting is the new way of walking
14022,o turns out i had stereo love on mi phone under the unknown album.
14023,Buster.
14024,Dude im no longer a pisces. Im an aquarius now.
14027,Hows that watch resizing
14028,Whats at utc
14029,Lolsrsly
14031,Ya srsly better than yi tho
14033,Or ill be a little closer like at the bus stop on the same street
14034,Hows the street where the end of library walk is?
14035,K sure
14036,Id onluy matters when getting on from offcampus
14037,O shore are you takin the bus
14039,Cuz ibored. And don wanna study
14040,Headin towards busetop
14045,Well. Balls. Time to make calls
14046,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.
14047,Yo so when is sushi
14048,Ugh my leg hurts. Musta overdid it on mon.
14049,Nah dub but je still buff
14050,Dude gurren lagan is on tv. Kamina is hardcore
14051,Just got outta class gonna go gym.
14052,Sup cd
14055,Lololololl sucks
14056,So when you gonna get rimac access
14057,Tmrw. Im finishing 9 doors
14058,You sure your neighbors didnt pick it up
14060,Hows sf bub
14064,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
14065,Olol..sux
14067,Except theres a chick with huge boobs.
14068,O ic lol. Should play 9 doors sometime yo
14069,Sup hows sf
14070,Rofl. Its true to its name
14071,Sullied his pantz
14072,Jus finished avatar nigro
14074,Cdoin.
14077,O how do i reformat
14078,My drive can only be read. I need to write
14080,O.
14083,Did you try making another butt.
14085,Ook
14086,Mmk
14087,Ibored.
14089,Cd
14091,No se. 1? 2?
14092,Watching hulu.
14093,Oh...g.a.y.
14094,Well thats nice. Too bad i cant eat it
14095,Got ze coat
14096,Hows your arm??
14100,Im volunteerin yo
14105,Alright i have a new goal now
14106,Olol dont remember.
14107,O needa read tat
14108,Later then
14109,Check mi fb
14111,Whens your radio show?
14112,I was gonna ask you lol but i think its at 7
14113,Thats so random
14114,Uh huh
14115,Oh ic. I thought you meant mary jane.
14116,Lolwtf random
14117,Im walking by yo work
14118,Rofl!!!
14120,Lol how did u get put in an arm bar.
14122,Lol alright i was thinkin that too haha
14123,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
14124,I pocked you up there before
14125,Where u goin bbub
14126,Si
14127,Yo cd for lunch
14128,Lo siento
14133,Near yo work
14135,Lol ok
14136,Harri bailed on gym
14137,So gym at 5??
14138,Im in class yo.
14139,Uhhhhrmm isnt having tb test bad when youre sick
14140,It should take about <#> min
14141,Ok im going back
14142,Still in the area of the restaurant. Ill try to come back soon
14143,Hi mom we might be back later than <#>
14144,O ok =/
14146,Very nice
14148,Hola .
14149,We stopped to get ice cream and will go back after
14150,Lol ok szucy
14151,Prob not why
14152,I napd
14155,Lol.
14157,In library Wutup
14159,Yessssss?
14161,You know it
14162,Sittin in my cubicle
14163,Hola
14164,9 doorz nigo!
14165,U hi.
14166,So when do you wanna gym?
14169,You know it bro
14171,|Djajaja
14172,I feel fat
14174,YAY~
14175,Happy new years melody!
14176,Wat up choco
14177,Oya
14178,Oyea~
14179,Dont know supports and srt i thnk. I think ps3 can play through usb too
14180,Oh wow thats gay. Will firmware update help
14181,Ya but it cant display internal subs so i gotta extract them
14184,External hdd
14185,Via usb
14186,Lol. Well quality aint bad at all so i aint complaining
14187,I dled 3d its very imp
14190,Is avatar supposed to have subtoitles
14191,Oya iSEE
14192,Why the trip to sf?
14193,Lol wtf nice
14194,The new deus ex game comin early next yr
14196,Well that must be a pain to catch
14199,Wut.
14200,Well. Im computerless. Time to make some oreo truffles
14202,Lol hf
14203,Its ok my arm is feeling weak cuz i got a shot so we can go another time
14204,So when do you wanna gym harri
14205,Ya. Cd
14206,O. Well uv causes mutations. Sunscreen is like essential thesedays
14209,Thats gay.
14212,Olol i printed out a forum post by a guy with the exact same prob which was fixed with a gpu replacement. Hopefully they dont ignore that.
14215,Ugh hopefully the asus ppl dont randomly do a reformat.
14216,Dont gimme that lip caveboy
14217,Perhaps
14218,Haha i think i did too
14220,Yeah we do totes. When u wanna?
14226,Wowimp
14227,Merry christmas to u too annie!
14229,I guess so
14230,Oh alright
14231,Ya it came a while ago
14235,Guess he wants alone time. We could just show up and watch when they do..
14236,O we cant see if we can join denis and mina? Or does denis want alone time
14237,Good idear
14238,When u wana see it then
14239,Same. Wana plan a trip sometme then
14243,Poo. Time to save up $ <#> for a spoiler.
14244,Its just decorative
14245,Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.
14246,Ya even those cookies have jelly on them
14247,Like 1
14248,Yo we are watching a movie on netflix
14249,Ic
14250,Lol wtf random. Btw is that your lunch break
14251,Sitting at home
14252,Dude just saw a parked car with its sunroof popped up. Sux
14255,Chadoin.
14256,Well thats excitong
14257,Oyea.
14258,Cdoin bro
14259,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
14261,Hi mom we made it
14262,Oic
14263,Ahoy.:S
14265,I see a cup of coffee animation
14268,....photoshop makes my computer shut down.
14269,O im gonna eat first
14270,Dont think so. It turns off like randomlly within 5min of opening
14272,So u workin overtime nigpun?
14273,Aaooooright are you at work?
14274,Dude how do you like the buff wind.
14598,Where's my boytoy? I miss you ... What happened?
14600,"Babe, I'm back ... Come back to me ..."
14603,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
14605,Where are you lover ? I need you ...
14612,Where's my loverboy?
14613,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
14614,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too"
14615,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
14616,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
14617,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
14618,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
14619,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
14620,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
14621,"I just got home babe, are you still awake ?"
14622,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
14623,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
14624,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
14625,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
14626,"Could you not read me, my Love ? I answered you"
14629,"Ta-Daaaaa! I am home babe, are you still up ?"
14631,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
