,Message,Sentiment Label
18049,Where at were hungry too,Neutral
47147,Mike says anyone after three =o,Neutral
47804,Well I'm glad! Haha,Positive
17670,"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack",Neutral
18362,That's too long,Negative
14856,Just met a guy that has a brand new <#> g wifi 3g ipad for <#> . I think its a good deal in terms of price and tax. Should i approach.,Neutral
47859,Ohh time difference,Neutral
15419,Your brother is a genius,Positive
14688,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",Positive
47831,Our chat and Minecraft yeah lol,Neutral
46790,But but.....,Negative
14038,Im done. Just studyn in library,Neutral
47742,"Okcupid: ""must like Megaman and literature as much as me""",Neutral
35257,"Hi Jane, Min here. Can you send me the caterer 's number? Id liketo check on their ETA. Thanks!",Neutral
47530,Yeeeah lol,Positive
18473,Well switch then,Neutral
46646,Yeah.. do we get the keys on the <#> ?,Neutral
14843,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love,Neutral
34770,"No problem, my wife's monthly cramps are sometimes very tough to beartoo. Take care of yourself. :-)",Positive
47925,I...don't know,Neutral
34515,For sure. I just need note of shleep,Neutral
18182,I got the new house!,Positive
19222,Don't mind if I do!,Positive
46237,Probably peking express but I'm getting something else haha,Neutral
14240,Well thats exciting,Positive
18921,I was horribly mistaken! I may just not do it.... I never got the keyboard paper :(,Negative
34466,Yeah call me!,Positive
17869,Jay is snickering and tells me that x is totally up the chords as we speak,Neutral
17595,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,Neutral
18256,I hope you know I'm still mad at you.,Negative
18019,(It's acid),Neutral
47601,Oh that's terrible (if course I won't),Negative
45106,"Hi Ing Cheong, do you have time Saturday or tomorrow evening after<TIME> to come up to our place at 4 verde crescent to help us selectcurtains? Thanks.",Neutral
18934,Haha muah! How was your day?,Positive
14751,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",Neutral
46182,Were you in Doe when the power went out?,Neutral
46801,She convinced Dr. <name> to bump my A- to an A!,Positive
46713,Nah believing this is dangerous. Skepticism is definitely the optimalmindset here,Negative
18742,I'm fine thx. Good nite.,Neutral
47848,"Oookay them, they did it when I was doing dishes",Neutral
14801,Its worse if if uses half way then stops. Its better for him to complete it.,Negative
11949,I will treasure every moment we spend together...,Positive
11250,No. Did you multimedia message them or e-mail?,Neutral
46463,Old!!!!,Negative
17435,"It's ok, at least armand's still around",Neutral
14609,I just sent you <#> bucks,Neutral
47261,"No, I can't xP you're too difficult =P I'll find a chance to",Neutral
17729,USF,Neutral
47032,Hey! Just wanted to say I love you more than you love me no returns!,Positive
45116,Ing Cheong will come around 7pm tonight,Neutral
14763,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Positive
46694,Me neither lol but we have to,Neutral
46767,Taking off soon... love ya!,Positive
46281,"Grilled chicken, sour cream",Neutral
18260,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since <#> before I was even born!,Positive
13773,"Uncle G, just checking up on you. Do have a rewarding month",Positive
46737,"Also, he rhymes T&A, B of A, and DNA -.-",Negative
18526,Ok. Noted with thanks.:-),Positive
19184,What's the website so I can apply at united health?,Neutral
18374,What happened to our yo date?,Negative
11229,I am sorry it hurt you.,Neutral
14841,"Me, i dont know again oh",Neutral
15627,Just glad to be talking to you.,Positive
18971,Dawson thank you! You're a crazy sprinter :O,Positive
18458,Ok then. See u in like an hour.,Neutral
47779,A girl named <name> and some mute Berkley peeps,Neutral
15522,I dont know oh. Hopefully this month.,Neutral
18231,Did u turn on the heater? The heater was on and set to <#> degrees.,Neutral
14011,Ic. There are a lotta cars then.,Neutral
47968,People of color -.-,Negative
34750,"Yes, all's fine. Nate is now sleeping. Wahni is eating her lunch andfinished the kitchen and cabinet cleaning.",Positive
15422,"I'm a guy, browsin is compulsory",Neutral
18115,Lol that's different. I don't go trying to find every real life photo you ever took.,Neutral
11305,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.",Negative
35286,"Sorry, meant to say that I cant make it today because my child issick. Please go ahead and meet if possible, but I will try to talk toover email later. Sorry!",Negative
13701,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.,Neutral
15542,Oh great. I.ll disturb him more so that we can talk.,Negative
17715,Can you open the door?,Neutral
13716,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,Neutral
18102,NO GIFTS!! You trying to get me to throw myself off a cliff or something?,Negative
34780,"Hi Colin, no its the condo where we're currently staying. Itsoutside of Choa Chu Kang MRT. Postal code <#> . Can you make it?",Neutral
46747,When/where you wanna meet?,Neutral
46480,I'm alive yo,Neutral
45101,Ok. Thanks. I have sent the documents to your yahoo.com.sg account.Hope you can read it. :-),Neutral
15370,What is important is that you prevent dehydration by giving her enough fluids,Neutral
15365,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",Neutral
17531,"Aight, see you in a bit",Neutral
17222,"She was supposed to be but couldn't make it, she's still in town though",Neutral
17637,Call me when you get the chance plz <3,Positive
18841,No I'm <#> . If you were <#> it would have been no bueno,Negative
12047,Ok baby!,Positive
34417,"Sweeeeeeeet I'm so excited! I applied to trader Joe's and a place onthe wharf today, and I'm filling out Starbucks applications onlineright now. :)",Positive
17313,"Yo, the game almost over? Want to go to walmart soon",Neutral
46854,You east coasters,Neutral
46506,Worth asking =P,Neutral
17320,"K, right now?",Neutral
11281,Who me?,Neutral
47963,Jesus this makes me want to smash my head into the keyboard,Negative
18214,See? I thought it all through,Neutral
48501,Oh proooobably. ;),Positive
11316,Good morning. At the repair shop--the ONLY reason i'm up at this hour.,Negative
18518,And u didn't buy me anything? Hmft,Negative
34389,Hey! Yeah I'm feeling a little better. No throwing up!,Positive
14099,Well then you have a great weekend!,Positive
15628,So how are you,Neutral
18790,Hooray! That's so awesome! I hope she's enjoying the long drive. Haha now I have your number again!,Positive
17590,I am now,Neutral
46909,"""No, I do but have the experience of watching (it)""",Negative
14768,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",Neutral
14611,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!,Positive
34873,"Sure, what do you need",Neutral
18002,At mu now,Neutral
17713,<#> should be it,Neutral
46122,Are we grocery shopping tomorrow? I nee to know when so I can knowif I can go with my friend,Neutral
17362,"If you want to mapquest it or something look up ""usf dogwood drive"", that's the tiny street where the parking lot is",Neutral
17716,"Probably gonna be here for a while, see you later tonight <)",Neutral
19103,Eek. It's been warm here for weeks now. I don't think its gonna get cold here again.,Negative
34868,"Hi Ricky, the shop's number is <#> <#> . They will be deliveringthe four water heaters tomorrow afternoon. Three are <#> liters,and one is <#> liters. Please help install the <#> for the masterbath on the third floor. Thanks. Li Fen is the name of the lady atthe store, Hupfarri Bath. Thanks.",Neutral
46772,"Soon,",Neutral
14831,If you are not coughing then its nothing,Neutral
18453,Oh ok cause I'm gonna go sleep on them,Neutral
18919,It's super unique! Haha I'm just IPA-ing the whole song,Positive
18207,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(,Negative
47608,"Btw, adding spaghetti noodles does not work",Negative
47651,Lying down! Chop,Neutral
11317,Have a good show!,Positive
17258,"It'll be tough, but I'll do what I have to",Neutral
12024,I sent them. Do you like?,Neutral
46962,Caw caw,Neutral
47277,Why didn't I listen to you?!,Negative
47993,We should learn Karuk,Neutral
34386,Oh wow. Thanks. Can you tell Shevawn I have rehearsal from 8 to <#>? Thanks dude,Positive
46100,Mission,Neutral
34797,He didn't say. I didn't bother to ask him yet. I thought he wouldhave at least offered to do that.,Negative
46701,"Nnnno, I was just saying what accompanies the animal product. Youknow, in her reusable containers and fair trade coffee",Neutral
47126,"Nope, just hanging around haha =P",Neutral
46689,Right! Holy is he scary,Negative
48426,Are you doing anything this weekend?,Neutral
46579,Where are you guys in sf?,Neutral
46800,ANGELAAAAA,Neutral
47019,Follow the light,Positive
14219,Alright,Neutral
11166,That was the fries.,Neutral
35075,yea i know,Neutral
15607,So what about you. What do you remember,Neutral
47668,Work xP sup?,Neutral
14224,Yavnt tried yet and never played original either,Neutral
47878,.-.,Neutral
46838,Post! That sounds great! Why did we ever throw such a friendship away?!,Positive
47252,I'm sorry =(we have lots to do,Negative
34404,Hey mom! I'm leaving at <TIME>,Neutral
45177,Pang gang is the black sauce type. Ok?,Neutral
19145,Where u been hiding?,Neutral
14103,Yo theres no class tmrw right?,Neutral
15618,Dont show yourself. How far. Put new pictures up on facebook.,Negative
46853,Uhh you can do it?,Neutral
47431,Okay =),Positive
47110,What(Many caws to you btw),Neutral
47145,Are you guys staying the night?,Neutral
18851,Love you,Positive
45151,"Sorry I meant ""remit"".. thanks.",Neutral
15468,I think i've fixed it can you send a test message?,Neutral
19224,Mark please answer,Neutral
11163,Did you find your cards and id?,Neutral
18173,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,Neutral
47510,Hahahaha that's great,Positive
45114,"Yes, thanks! See you later!",Positive
46892,"Also, Rabe, that bitch!",Negative
46575,Dayum. I went <TIME> to <TIME> the other day though in all fairness haha,Neutral
18890,Hello! What are you up to?,Neutral
18054,Were somewhere on Fredericksburg,Neutral
11214,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",Negative
18740,see u at 8 at the RU,Neutral
15310,Have you been there?,Neutral
14795,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...,Positive
46327,"Alright, I love you too, call me if anything changes okay?",Positive
47395,Getting the real frat experience I see,Neutral
18267,No that just means you have a fat head,Negative
46916,Hokay sounds good! And I'll reply soon =P,Positive
14241,Cdoin,Neutral
14604,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",Negative
46982,"They're down at the bottom in the back, a sort of shady looking sitethat uses the building key",Neutral
11237,You said to me before i went back to bed that you can't sleep for anything.,Neutral
18736,Are you ok? Lobe Gin x,Neutral
18815,Yeah for sure! Thank you,Positive
46832,"Also, are you free this weekend? Me and you and <name> should hang out!!",Positive
47536,Sup ?,Neutral
17506,"Some friends want me to drive em someplace, probably take a while",Neutral
47898,"Yeah, I definitely understand.. if we get past our pathetic failingswe should go out if our way to describe to tell students gotta bad wewere",Negative
14021,Lolnice. I went from a fish to ..water.?,Neutral
18858,Sweet!,Positive
19159,:( I wanna go. Take me,Negative
14776,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm ... I love you too, my Lion ... *devouring kiss from across the sea*",Positive
46348,Whaaaatttt?,Neutral
35290,"Hi ricky, no need to change tomorrow's polishing schedule. Thanks.Enjoy your night.",Neutral
34427,Hey mom! Just letting you know I'm back at calarts safely,Neutral
47764,Went to the fourth of July picnic and went home haha,Negative
13709,Yh baby.,Positive
17495,"K I'm ready, <#> ?",Neutral
17850,I am literally in bed and have been up for like <#> hours,Negative
14053,Those were my exact intentions,Neutral
18407,Ugh I have my millionth docs appointment today. I even had to go see a doc on vday :( my body doesn't like me very much,Negative
14158,Wat??!,Negative
47869,Yeah xD,Neutral
46516,Suuuuure,Negative
13718,Have you laid your airtel line to rest?,Neutral
13809,Love you more,Positive
46535,Sit when are they due?,Neutral
46498,"Wait, maybe u2 is better",Neutral
11330,No go. No openings for that room 'til after thanksgiving without an upcharge.,Negative
47586,I love you =),Positive
12074,I will lick up every drop :) are you ready to use your mouth as well?,Positive
34738,"Hi Shyan, thanks for your help yesterday. I have the documents in myoffice. If you can send the courier to me I can provide the documentstoday. My office address is AS6 # <#> , National University ofSingapore <#> . Please give the courier my hp number as i may be inmeetings. Thanks!",Positive
18982,I'm out of rehearsal!,Neutral
19029,So how was work?,Neutral
14075,Hows class yo,Neutral
14153,I wanna watch that movie,Neutral
18237,Yes just finished watching days of our lives. I love it.,Positive
34485,I miss you so much. I want to hang out right now,Positive
46782,Yush,Positive
11987,I love to give massages. I use lots of baby oil... What is your fave position?,Neutral
12007,Good. No swimsuit allowed :),Positive
18961,For sure! No I just didn't know what you meant. Gettin down to beeisness time. It's.. business time,Neutral
11926,Hope you are not scared!,Neutral
19172,YES! lol,Positive
18347,Alright took the morphine. Back in yo.,Neutral
47664,That's good... Virginia sort of implied I might've been able to dothat if I needed,Neutral
17346,Aight that's good,Positive
47596,It's not really dark until like <#>,Neutral
14182,Usb mang,Neutral
15351,Did you go shopping?,Neutral
47816,He just said they were writing it basically lol,Neutral
47794,If I don't get my cards before I leave I can't even check my bags,Negative
19128,It's a man's world...even I hate women lol,Neutral
17252,"Haha, sorta",Neutral
15529,That's a grand idea.,Positive
17858,I'll be at mu in like <#> seconds,Neutral
19058,LOL please tell,Neutral
18165,Lol great now im getting hungry.,Positive
15577,What's happening with you. Have you gotten a job and have you begun registration for permanent residency,Neutral
14664,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",Positive
47687,Possibly,Neutral
11164,Tturn it down or turn it off.,Negative
47456,"Nice xP how's that going? Also, can you call me if I crash?",Neutral
12079,Your is perfect!,Negative
17383,"No, I was trying it all weekend ;V",Neutral
47148,Hokay <3 caw!,Positive
18907,It feels fantastic! And it's so nice out,Positive
35247,"Hi Sue, yes. I have scheduled <#> to be paid on Jul <#> . Is that ok?",Neutral
46699,"Nah, I'll be dramatic about it. ""WellsFargoBacon"" will be it",Negative
13679,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered <#> to my account and <#> dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",Negative
47207,"I guess lol. Oh, and Mark's boy here, I saw his housing packet in the bin",Neutral
46280,"At work, what's up?",Neutral
45664,please dont make me do that,Negative
47775,Hahahha,Positive
34396,"Hey! There was some crazy traffic from the rain, but I'm here now",Neutral
45080,"Hi Anindya , I think we have a cal in ten minutes. I will give you aring, since I'm not in the office. Are you overseas?",Neutral
15416,There bold 2 <#> . Is that yours,Neutral
47358,I bet you're excited xP,Positive
19173,Omg I'm such a good liar. I just got offline with Sprint. They charged me a fee to reconnect my services. I told them my service was never disconnected and they said ok and took off the charge yippee!,Positive
19049,Did u get a good tip?,Neutral
18927,"Okay! I love you so much. Sorry I was kind of low energy tonight, it's just school. I really love and miss you :* sweet dreams and goodnight!",Positive
18139,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,Positive
17905,Where all y'all at,Neutral
47072,Psh you hardly used gaia... what could yours even have?,Negative
35233,"That's great news! I understand from Alicia that the JMBR vanity onlvl 2 needs to be redesigned, just checking that this is still thecase? Thanks!",Neutral
46743,Towards center? headed there now,Neutral
14678,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",Neutral
19044,Yeah but I'd just ask for it again and again,Negative
15479,X course it 2yrs. Just so her messages on messenger lik you r sending me,Negative
19059,Aw its ok. Just ask for help. Your a guy so nobody expects u to know anything.,Negative
47917,I've never heard anything before and now I hear them bumbling around,Neutral
46117,Not to check in but security is growing. I'm not through security yet though,Neutral
34456,HAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHAHAHAHAHAHA,Negative
14063,Studyn chem.,Neutral
46209,I'm going crazy,Negative
34384,Haha I have no idea!,Neutral
47175,Honey barbeque and mild and hot or hot barbecue,Neutral
47393,And I conceded to whatever you say about Noah's Ark kind of people =P,Neutral
34397,Hey dad! My patelco account number is <#> :),Positive
47376,"Yeah, admittedly that was weird... but that could be just as muchpart of him being 'conservative'. Religious people aren't known forbeing against immigrant rights as far as I've seen lol",Neutral
15640,Moji just informed me that you saved our lives. Thanks.,Positive
19009,Lol then yeah u need to go somewhere else,Neutral
46825,"Hahaha, well you can get some in Ohio!",Neutral
11157,I'm refreshing cuz it threw me into a game with strangers,Neutral
46277,Holding dept too,Neutral
15535,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,Positive
47899,How. Mother l. Not gotta,Negative
14015,I jst did,Neutral
46110,Dinner yo,Neutral
11186,:-D,Positive
47618,Alright love,Positive
11958,will you like to be spoiled? :),Positive
47572,It's fine =),Neutral
17369,Yo you around? A friend of mine's lookin to pick up later tonight,Neutral
13814,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec <#> . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",Positive
47784,I'm with my friends haha,Neutral
18099,Fml,Negative
18869,Haha whatever's good man! I don't really care,Neutral
47299,Sure. I just have to run by the business office yo,Neutral
13681,I sent your maga that money yesterday oh.,Neutral
35265,"Yes, its here. Thanks for checking in. :-)",Positive
13734,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,Positive
35289,Still waiting. Slow service.,Negative
11182,It only hurts if you tense up. Pretend it's reggie. LOL!,Neutral
34716,"Yes,no problem :-)",Positive
11193,WTF is this?????,Negative
19204,Interview tomorrow at <#> am. Wish me luck!,Positive
18027,"Yo, you up yet?",Neutral
46354,Home in Berkeley,Neutral
17663,"Sorry, was in the bathroom, sup",Neutral
19066,Hurry,Negative
47950,Got the card - thanks so much! Love you!,Positive
46132,"Alright! Just listened to the others, they sound awesome!",Positive
47255,Hahahaha I wouldn't be shocked,Neutral
34373,I'm done!,Negative
17401,"Awesome, no rush",Positive
12053,I want to see your pretty pussy...,Negative
47079,"I'm coming, just late",Neutral
17524,"It's cool, we can last a little while. Getting more any time soon?",Neutral
17753,"I'll text carlos and let you know, hang on",Neutral
18053,Were trying to find a Chinese food place around here,Neutral
46366,You disappeared =o,Negative
18269,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.,Neutral
11212,Nuh-uh. Before bed on tuesday.,Neutral
46284,Alright cool! I'm on Megabus blue so I'll see if I can get them,Positive
17818,"Uh, heads up we don't have THAT much left",Neutral
18090,How much would it cost to hire a hitman,Negative
34455,Haha oh no! My arms and nose got a little sunburned,Neutral
17743,WYLIE ALLEN,Neutral
47712,Oh I know! Weird it's a thief pirate... it's so neat,Positive
47132,Michael this time,Neutral
15368,Thanks honey. Have a great day.,Positive
18183,THE new house.,Neutral
14832,R u over scratching it?,Negative
46511,Do we haaave to?,Negative
47482,Really? Where is it from?,Neutral
47605,Hey! That's <#> or <#> more than I'd get to before not being ableto gm hold myself up!,Negative
47688,I'm not lol,Neutral
17260,Headed back to mu,Neutral
47808,Would they let you cash a check to cash do you think? Since your bankis here and all,Neutral
18227,Ok Chinese food on its way. When I get fat you're paying for my lipo.,Neutral
17915,"K I'm leaving soon, be there a little after 9",Neutral
47295,Nice lol,Positive
18840,Don't be offended! It was nice uh... meeting you haha,Neutral
17283,Night night,Neutral
46655,TRUE,Positive
47087,Game of thrones?!,Neutral
46914,I told ruby to come on whenever,Neutral
46112,What's youe confiemation number?,Neutral
46999,Tell her I'm sorry but it will be here soon. Should I get the router or not,Neutral
17265,"Aight, I'll ask a few of my roommates",Neutral
47749,Nice! So did he suggest meeting six hours now? =P,Positive
45071,Leaving Nus now. Please start if hungry. I cant find the bicycle keyin the car.,Neutral
15380,Now,Neutral
12052,I want to lick your now...,Negative
14264,Sup wanna modnation,Neutral
17755,"I can't right this second, gotta hit people up first",Neutral
17776,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as and doesn't like selling without me there and I can't be up there til late tonight",Negative
47424,No u,Neutral
17496,When should I come over?,Neutral
47578,Minimalist syntax!,Positive
46686,I can't watch 8 til Wednesday... aarrrgh,Negative
45084,Coming back now.,Neutral
17924,I'll probably be by tomorrow (or even later tonight if something's going on),Neutral
17865,In other news after hassling me to get him for a week andres has no money. HAUGHAIGHGTUJHYGUJ,Negative
15558,No rushing. I'm not working. I'm in school so if we rush we go hungry.,Negative
47094,"Just wondering, since it's not a school night, is midnight still cool?",Neutral
47258,Siiiiigh,Negative
47821,Really? Jesus that's horrible,Negative
47766,"That's really true, yeah I can understand",Positive
15393,Bb. Laptops. Ipad,Neutral
14183,No but the bluray player can,Neutral
15655,So are you guys asking that i get that slippers again or its gone with last year,Neutral
47595,Rice!,Neutral
45141,"Hi Yeng Chin, sure I will try to do so. Also, can you sms your ICnumber to me? Just for record keeping. Will try to let you know bytwo weeks time.",Neutral
15442,He's in lag. That's just the sad part but we keep in touch thanks to skype,Negative
14610,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",Positive
34788,"Hi Sue, yes confirmed.",Neutral
