,Message,Label,Sentiment Label
56,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,negative
57,"I NEVERsaid dirty. That is YOUR word, not mine.",1,neutral
58,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",0,negative
59,Yes. that will be fine. Love you. Be safe.,2,positive
60,what is your account number?,1,neutral
61,<#> and <#> @ braintree,2,positive
62,"!!! ""Nana wants me to stay in the city, so I guess I'll just see u in the morning. Me n jaleah will be at home at like 9.""",0,negative
63,Is that what time you want me to come?,1,neutral
64,Alright. I'm out--have a good night!,2,positive
65,And Chuck.,1,neutral
66,i thought we were doing a king of the hill thing there.,1,neutral
67,I'm always looking for an excuse to be in the city.,1,neutral
68,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.,1,neutral
69,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",2,positive
70,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",1,neutral
71,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,1,neutral
72,Yes. I come to nyc for audiitions and am trying to relocate.,1,neutral
73,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",0,negative
74,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,1,neutral
75,I'm fine. And u?,1,neutral
76,have a good night!,2,positive
77,You up? Taking calls?,1,neutral
78,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",2,positive
79,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and me. It makes me want to listen to you less.",0,negative
80,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.,0,negative
81,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do.""",0,negative
82,"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.",0,negative
83,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,0,negative
84,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a <#> movie DOESNT inlude the previews. You're still getting in after 1.",0,negative
85,"Whatever, juliana. Do whatever you want.",0,negative
86,I accidentally deleted the message. Resend please.,1,neutral
87,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",0,negative
88,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",1,neutral
89,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",1,neutral
90,Nope. Sorry!,1,neutral
91,Alrighty then.,1,neutral
92,"Ok, Mr. Vague, lol.",1,neutral
93,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,2,positive
94,Hola. How are you?,1,neutral
95,As if i wasn't having enough trouble sleeping.,0,negative
96,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",0,negative
97,Can i get your opinion on something first?,1,neutral
98,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",1,neutral
99,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,0,negative
100,Oh really?? Did you make it on air? What's your talent?,1,neutral
101,Tired. I haven't slept well the past few nights.,0,negative
102,"It,,s a taxt massage....tie-pos argh ok! Lool!",1,neutral
103,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",0,negative
104,What do you do?,1,neutral
105,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",1,neutral
106,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,1,neutral
107,Why are u up so early?,1,neutral
108,I was about to do it when i texted. I finished a long time ago and showered and er'ything!,0,negative
109,"You aren't coming home between class, right? I need to work out and shower!",1,neutral
110,SP <#> CMD=REGISTER;ID=4;IMEI= <#> ;SIM= <#> ;MCC= <#> ;MNC= <#> ;,1,neutral
111,What???? Hello wats talks email address?,1,neutral
112,Why don't you wait 'til at least wednesday to see if you get your .,0,negative
113,"If i let you do this, i want you in the house by 8am.",0,negative
114,Oh dang! I didn't mean o send that to you! Lol!,2,positive
115,And of course you should make a stink!,0,negative
116,You need to get up. Now.,0,negative
117,Great! Daddy can't wait to get better and meet you!,2,positive
118,Tuesday. I,1,neutral
119,I,1,neutral
120,Thank you@?,2,positive
121,i am going to bed now prin,1,neutral
122,ok baby!,0,negative
123,"Sorry, I'll call later",1,neutral
124,I need you...,2,positive
125,What makes you most happy?,2,positive
126,I can do that! I want to please you both inside and outside the bedroom...,2,positive
127,Great! I hope you like your man well endowed. I am <#> inches...,2,positive
128,have you ever had one foot before?,1,neutral
129,There is a first time for everything :),2,positive
130,"Are you being good, baby? :)",2,positive
131,"I am real, baby! I want to bring out your inner tigress...",0,negative
132,Get ready to put on your excellent sub face :),2,positive
133,Excellent! Are you ready to moan and scream in ecstasy?,2,positive
134,"And how you will do that, princess? :)",2,positive
135,"How long has it been since you screamed, princess?",0,negative
136,"Why is that, princess? I bet the brothas are all chasing you!",0,negative
137,ok. I am a gentleman and will treat you with dignity and respect.,0,negative
138,That depends. How would you like to be treated? :),1,neutral
139,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),2,positive
140,Have to run. Ttyl!,0,negative
141,Hi baby! How are you?,2,positive
142,I need you to be in my strong arms...,0,negative
143,Hi! This is Roger from CL. How are you?,1,neutral
144,I am great! How are you?,2,positive
145,Great! How is the office today?,2,positive
146,Thats cool. i liked your photos. You are very sexy!,2,positive
147,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,2,positive
148,"How about clothes, jewelry, and trips?",1,neutral
149,I will spoil you in bed as well :),2,positive
150,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love <#> times per night :),2,positive
151,Yes! How is a pretty lady like you single?,2,positive
152,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,0,negative
153,Understand. his loss is my gain :) so do you work? School?,0,negative
154,Good morning princess! How are you?,2,positive
155,Ok. Good luck!,1,neutral
156,I doubt you could handle 5 times per night in any case...,0,negative
157,I love working from home :),2,positive
158,Hi! How are you?,1,neutral
159,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),2,positive
160,Sounds great! Are you home now?,1,neutral
161,excellent. I spent <#> years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,1,neutral
162,No kids.,1,neutral
163,i am seeking a lady in the street and a freak in the sheets. Is that you?,1,neutral
164,"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",2,positive
165,Great! So what attracts you to the brothas?,1,neutral
166,Thats cool. i am a gentleman and will treat you with dignity and respect.,1,neutral
167,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",2,positive
168,Hi Princess! Thank you for the pics. You are very pretty. How are you?,2,positive
169,Thats cool. How was your day?,2,positive
170,Just sent it. So what type of food do you like?,1,neutral
171,Good evening! How are you?,1,neutral
172,How about drinks?,1,neutral
173,soon we will meet :),2,positive
174,Hanging out with my brother and his family,1,neutral
175,Cool. So how come you havent been wined and dined before?,1,neutral
176,"If we hit it off, you can move in with me :)",2,positive
177,Thats cool. I want to please you...,2,positive
178,Thank you. I like you as well...,2,positive
179,Old Orchard near univ. How about you?,1,neutral
180,Cool. Do you like swimming? I have a pool and jacuzzi at my house.,1,neutral
181,"Princess, i like to make love <#> times per night. Hope thats not a problem!",2,positive
182,my ex-wife was not able to have kids. Do you want kids one day?,0,negative
183,get ready to moan and scream :),0,negative
184,cool. We will have fun practicing making babies!,2,positive
185,"Lets use it next week, princess :)",2,positive
186,Do you like Italian food?,1,neutral
187,I can make lasagna for you... vodka...,1,neutral
188,Cool. I am <#> inches long. hope you like them big!,2,positive
189,What is your record for one night? :),1,neutral
190,"Just sent again. Do you scream and moan in bed, princess?",2,positive
191,Have a good evening! Ttyl,2,positive
192,Excellent!,2,positive
193,On the road so cant txt,1,neutral
194,Good morning princess! Happy New Year!,2,positive
195,No problem baby. Is this is a good time to talk? I called and left a message.,2,positive
196,i can call in <#> min if thats ok,1,neutral
197,Nice talking to you! please dont forget my pix :) i want to see all of you...,2,positive
198,Thank you princess! You are so sexy...,2,positive
199,Me too baby! I promise to treat you well! I bet you will take good care of me...,2,positive
200,I got your back! Do you have any dislikes in bed?,0,negative
201,Thats cool. Where should i cum? On you or in you? :),1,neutral
202,I will be gentle baby! Soon you will be taking all <#> inches deep inside your tight pussy...,0,negative
203,I love to cuddle! I want to hold you in my strong arms right now...,2,positive
204,No pic. Please re-send.,1,neutral
205,I love your ass! Do you enjoy doggy style? :),2,positive
206,Are you wet right now?,1,neutral
207,Thank you baby! I cant wait to taste the real thing...,2,positive
208,Got it! It looks scrumptious... daddy wants to eat you all night long!,2,positive
209,"What will we do in the shower, baby?",1,neutral
210,I enjoy watching and playing football and basketball. Anything outdoors. And you?,1,neutral
211,Sounds great! Im going to sleep now. Have a good night!,2,positive
212,Good morning princess! Have a great day!,2,positive
213,I am taking you for italian food. How about a pretty dress with no panties? :),1,neutral
214,Excellent! Wish we were together right now!,2,positive
215,So i could kiss and feel you next to me...,1,neutral
216,I am 6 ft. We will be a good combination!,2,positive
217,I want to be there so i can kiss you and feel you next to me,1,neutral
218,How about 7 pm?,1,neutral
219,"Princess, is your kitty shaved or natural?",1,neutral
220,Be sure to check your yahoo email. We sent photos yesterday,1,neutral
221,Great! I shoot big loads so get ready!,2,positive
222,Thats cool princess! I will cover your face in hot sticky :),2,positive
223,You are gorgeous! keep those pix :) thank you!,2,positive
224,Love it! I want to flood that pretty with cum...,2,positive
225,"Yes but i dont care! I need you bad, princess!",0,negative
226,I want to be inside you every night...,1,neutral
227,Yes princess! I want to catch you with my big strong hands...,2,positive
228,Prepare to be pounded every night...,0,negative
229,i want to grasp your pretty booty :),2,positive
230,yes baby! I need to stretch open your pussy!,2,positive
231,Love it! how so baby?,2,positive
232,Love it! Daddy will make you scream with pleasure! I am going to slap your with my dick!,2,positive
233,We will meet soon princess! Ttyl!,2,positive
234,Let me know how to contact you. I've you settled in a room. Lets know you are ok.,1,neutral
235,"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is <#> k help pls I will load d card abi hw,keep me posted luv. 2 mj",1,neutral
236,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.,2,positive
237,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",1,neutral
238,Too much swagger!,0,negative
239,There are no other charges after transfer charges and you can withdraw anyhow you like,1,neutral
240,About <#> bucks. The banks fees are fixed. Better to call the bank and find out.,1,neutral
241,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",1,neutral
242,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,2,positive
243,Just send a text. We'll skype later.,1,neutral
244,The message sent is askin for <#> dollars. Shoul i pay <#> or <#> ?,1,neutral
245,Great. Have a safe trip. Dont panic surrender all.,2,positive
246,You don buy ticket?,1,neutral
247,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",1,neutral
248,"When you just put in the + sign, choose my number and the pin will show. Right?",2,positive
249,I'm on the bus. Love you,2,positive
250,I cant hear you oh,0,negative
251,That's significant but dont worry.,0,negative
252,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just <#> bucks,1,neutral
253,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",0,negative
254,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",1,neutral
255,"And very importantly, all we discuss is between u and i only.",1,neutral
256,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola",2,positive
257,Wishing you a wonderful week.,2,positive
258,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,0,negative
259,"Pls send me a comprehensive mail about who i'm paying, when and how much.",1,neutral
260,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,0,negative
261,Ashley- <#>,1,neutral
262,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,1,neutral
263,Sorry i missed your call. Can you please call back.,1,neutral
264,First has she gained more than <#> kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries,1,neutral
265,Was the actual exam harder than NBME,1,neutral
266,The battery is for mr adewale my uncle. Aka Egbon,1,neutral
267,Ok. Thanks,1,neutral
268,I cant pick the phone right now. Pls send a message,1,neutral
269,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",2,positive
270,Hi. I'm sorry i missed your call. Can you pls call back.,1,neutral
271,Where can download clear movies. Dvd copies.,1,neutral
272,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,2,positive
273,Happy new year. Hope you are having a good semester,2,positive
274,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,2,positive
275,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,1,neutral
276,<#> actually,1,neutral
277,R we going with the <#> bus?,1,neutral
278,No. I'm just joking,1,neutral
279,Oh my God. I'm almost home,2,positive
280,No. Thank you. You've been wonderful,2,positive
281,Just finished. Missing you plenty,2,positive
282,Take your time.,0,negative
283,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,1,neutral
284,He has sent money,1,neutral
285,Am okay. Will soon be over. All the best,2,positive
286,Thx,2,positive
287,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.",0,negative
288,And do you have any one that can teach me how to ship cars.,1,neutral
289,On ma way to school. Can you pls send me ashley's number,1,neutral
290,We are both fine. Thanks,2,positive
291,Thanks for looking out for me. I really appreciate.,2,positive
292,Pls help me tell Ashley that i cant find her number oh,0,negative
293,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.,2,positive
294,Will do. Have a good day,2,positive
295,Pls come down stairs,1,neutral
296,Sorry that was my uncle. I.ll keep in touch,1,neutral
297,I'm ok. Will do my part tomorrow,2,positive
298,How are you with moneY...as in to you...money aint a thing....how are you sha!,1,neutral
299,I.ll get there tomorrow and send it to you,1,neutral
300,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,1,neutral
301,"How long before you get reply, just defer admission til next semester",1,neutral
302,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning",2,positive
303,"My sister in law, hope you are having a great month. Just saying hey. Abiola",2,positive
304,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,2,positive
305,Hi. Hope you had a good day. Have a better night.,2,positive
306,You are a great role model. You are giving so much and i really wish each day for a miracle but as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,2,positive
307,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,2,positive
308,How are you. Wish you a great semester,2,positive
309,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",2,positive
310,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,1,neutral
311,Sending you greetings of joy and happiness. Do have a gr8 evening,2,positive
312,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,2,positive
313,Really do hope the work doesnt get stressful. Have a gr8 day.,2,positive
314,So when's soccer,1,neutral
315,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,2,positive
316,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",2,positive
317,That's a good girl,2,positive
318,Not from this campus. Are you in the library?,1,neutral
319,I'm now but have to wait till 2 for the bus to pick me.,1,neutral
320,No thanks,1,neutral
321,Yes oh.,1,neutral
322,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",1,neutral
323,Just rounding up.,1,neutral
324,Not to worry. I'm sure you'll get it.,0,negative
325,Pls dont forget to study,2,positive
326,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,1,neutral
327,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",0,negative
328,No. I meant the calculation is the same. That <#> units at <#> . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,1,neutral
329,Okay same with me. Well thanks for the clarification,1,neutral
330,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,1,neutral
331,What about you?,1,neutral
332,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,0,negative
333,"So check your errors and if you had difficulties, do correction.",1,neutral
334,You can jot down things you want to remember later.,0,negative
335,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha.",1,neutral
336,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,2,positive
337,There's someone here that has a year <#> toyota camry like mr olayiwola's own. Mileage is <#> k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,1,neutral
338,Hope you are having a good week. Just checking in,2,positive
339,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,2,positive
340,Ma head dey swell oh. Thanks for making my day,2,positive
341,Yes i have. So that's why u texted. Pshew...missing you so much,0,negative
342,O.wow.buff.,2,positive
343,Imp,1,neutral
344,Dude ive been seeing a lotta corvettes lately,1,neutral
345,Hows yo cave,1,neutral
346,What should i eat fo lunch senor,1,neutral
347,Wat happened to the cruise thing,1,neutral
348,That was random saw my old roomate on campus. He graduated,1,neutral
349,Hhahhaahahah rofl wtf nig was leonardo in your room or something,1,neutral
350,Ugh. Gotta drive back to sd from la. My is sore.,0,negative
351,O whose?,1,neutral
352,Dude we should go sup again,1,neutral
353,So do you have samus shoulders yet,1,neutral
354,O. Guess they both got screwd,1,neutral
355,Already am squatting is the new way of walking,1,neutral
356,o turns out i had stereo love on mi phone under the unknown album.,1,neutral
357,Buster.,1,neutral
358,Dude im no longer a pisces. Im an aquarius now.,0,negative
359,Hows that watch resizing,1,neutral
360,Whats at utc,1,neutral
361,Lolsrsly,1,neutral
362,Ya srsly better than yi tho,1,neutral
363,Or ill be a little closer like at the bus stop on the same street,1,neutral
364,Hows the street where the end of library walk is?,1,neutral
365,K sure,1,neutral
366,Id onluy matters when getting on from offcampus,1,neutral
367,O shore are you takin the bus,1,neutral
368,Cuz ibored. And don wanna study,0,negative
369,Headin towards busetop,1,neutral
370,Well. Balls. Time to make calls,1,neutral
371,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,1,neutral
372,Yo so when is sushi,1,neutral
373,Ugh my leg hurts. Musta overdid it on mon.,0,negative
374,Nah dub but je still buff,1,neutral
375,Dude gurren lagan is on tv. Kamina is hardcore,1,neutral
376,Just got outta class gonna go gym.,1,neutral
377,Sup cd,1,neutral
378,Lololololl sucks,0,negative
379,So when you gonna get rimac access,1,neutral
380,Tmrw. Im finishing 9 doors,1,neutral
381,You sure your neighbors didnt pick it up,1,neutral
382,Hows sf bub,1,neutral
383,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex,0,negative
384,Olol..sux,2,positive
385,Except theres a chick with huge boobs.,1,neutral
386,O ic lol. Should play 9 doors sometime yo,2,positive
387,Sup hows sf,1,neutral
388,Rofl. Its true to its name,0,negative
389,Sullied his pantz,0,negative
390,Jus finished avatar nigro,1,neutral
391,Cdoin.,1,neutral
392,O how do i reformat,0,negative
393,My drive can only be read. I need to write,0,negative
394,O.,1,neutral
395,Did you try making another butt.,0,negative
396,Ook,1,neutral
397,Mmk,1,neutral
398,Ibored.,1,neutral
399,Cd,1,neutral
400,No se. 1? 2?,1,neutral
401,Watching hulu.,1,neutral
402,Oh...g.a.y.,1,neutral
403,Well thats nice. Too bad i cant eat it,2,positive
404,Got ze coat,1,neutral
405,Hows your arm??,1,neutral
406,Im volunteerin yo,1,neutral
407,Alright i have a new goal now,2,positive
408,Olol dont remember.,1,neutral
409,O needa read tat,1,neutral
410,Later then,1,neutral
411,Check mi fb,1,neutral
412,Whens your radio show?,1,neutral
413,I was gonna ask you lol but i think its at 7,1,neutral
414,Thats so random,1,neutral
415,Uh huh,1,neutral
416,Oh ic. I thought you meant mary jane.,1,neutral
417,Lolwtf random,1,neutral
418,Im walking by yo work,1,neutral
419,Rofl!!!,2,positive
420,Lol how did u get put in an arm bar.,1,neutral
421,Lol alright i was thinkin that too haha,1,neutral
422,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,1,neutral
423,I pocked you up there before,1,neutral
424,Where u goin bbub,1,neutral
425,Si,1,neutral
426,Yo cd for lunch,1,neutral
427,Lo siento,1,neutral
428,Near yo work,1,neutral
429,Lol ok,2,positive
430,Harri bailed on gym,0,negative
431,So gym at 5??,1,neutral
432,Im in class yo.,1,neutral
433,Uhhhhrmm isnt having tb test bad when youre sick,1,neutral
434,It should take about <#> min,1,neutral
435,Ok im going back,1,neutral
436,Still in the area of the restaurant. Ill try to come back soon,1,neutral
437,Hi mom we might be back later than <#>,1,neutral
438,O ok =/,0,negative
439,Very nice,2,positive
440,Hola .,1,neutral
441,We stopped to get ice cream and will go back after,1,neutral
442,Lol ok szucy,0,negative
443,Prob not why,1,neutral
444,I napd,1,neutral
445,Lol.,2,positive
446,In library Wutup,1,neutral
447,Yessssss?,1,neutral
448,You know it,1,neutral
449,Sittin in my cubicle,1,neutral
450,Hola,1,neutral
451,9 doorz nigo!,1,neutral
452,U hi.,1,neutral
453,So when do you wanna gym?,1,neutral
454,You know it bro,1,neutral
455,|Djajaja,1,neutral
456,I feel fat,2,positive
457,YAY~,2,positive
